id,商品名称,定位,早期均净利润,6月下旬,7.13-7.19,7.20-8.2_周均,早期->7中变化,早期->近期末周均变化
648600900806,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,30包,-32.0,-257.0,-202.0,-244.0,-170.0,-212.0
766165464414,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,12包,165.0,55.0,10.0,29.0,-155.0,-136.0
1013887677295,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,原味大包,-106.5,-135.0,-174.0,-73.5,-67.5,33.0
648598580775,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,原味大包,-20.5,-116.0,-37.0,-42.5,-16.5,-22.0
932687928859,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,14.0,6.0,-2.0,3.5,-16.0,-10.5
969423151512,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,日韩混搭,-12.0,-41.0,-26.0,-30.5,-14.0,-18.5
1028450344901,营多韩式火鸡面袋装拌面干拌面泡面方便面速食面宿舍宵夜旅行,韩式火鸡,1.0,-8.0,-8.0,0.5,-9.0,-0.5
649729851594,营多捞面袋装8包装泡面宿舍速食面热干面干拌面方便面火鸡面食品,小规格,7.5,-1.0,-1.0,4.0,-8.5,-3.5
648681860568,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,杯面次链接,-92.0,-69.0,-100.0,-139.5,-8.0,-47.5
947413291596,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,杯面混搭,-2.5,-1.0,-10.0,0.0,-7.5,2.5
885645733215,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,大骨牛肉,-0.5,-10.0,-7.0,,-6.5,
648604228786,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,杯面混搭,-9.0,-6.0,-15.0,3.5,-6.0,12.5
898120785283,进口意大利面风味奶香番茄牛肉味意式营多早餐儿童宝妈家庭餐拌面,番茄,-1.0,1.0,-4.0,5.5,-3.0,6.5
903183018417,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,七口味混搭,-7.0,-1.0,-9.0,0.0,-2.0,7.0
775016827115,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,杯面混搭,3.0,,3.0,,0.0,
1019572719528,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,日韩袋面,2.0,,2.0,,0.0,
916072786304,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,小规格,-3.5,-3.0,-3.0,-1.0,0.5,2.5
976467954327,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,日韩杯面,-7.0,-3.0,-3.0,-6.5,4.0,0.5
971242260371,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩式袋面,-27.5,-37.0,-21.0,-15.0,6.5,12.5
744317232690,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,多规格,-18.5,-4.0,-10.0,-20.0,8.5,-1.5
649731447266,营多印尼进口营多捞面方便面火鸡面干拌面20包宿舍速食泡面夜宵,20包经典/牛系列,3.5,46.0,21.0,15.0,17.5,11.5
898076297965,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,番茄牛肉,-33.5,-16.0,-16.0,-9.5,17.5,24.0
976466902934,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,-21.5,-15.0,-3.0,,18.5,
929504658691,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,巴东牛肉,-77.0,-312.0,-49.0,-39.5,28.0,37.5
886856687067,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,大骨,1.5,-11.0,30.0,-7.5,28.5,-9.0
976479938842,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,【U选】原味5,-56.5,-8.0,-22.0,-10.5,34.5,46.0
937005385662,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,日式袋面,-67.5,15.0,-13.0,-34.0,54.5,33.5
649014937782,印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面,24包,-118.0,-154.0,-63.0,-117.5,55.0,0.5
969433743398,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩蘑菇,-81.5,-7.0,-5.0,3.5,76.5,85.0
735014804839,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,24/30包,-39.5,-5.0,79.0,-9.5,118.5,30.0
668566625747,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,袋面主链接,-1713.0,-1396.0,-1578.0,-314.5,135.0,1398.5
649369494424,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,24包经典/牛系列,96.0,-107.0,247.0,65.5,151.0,-30.5
649735171438,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,杯面主链接,-1226.0,-1456.0,-963.0,-394.5,263.0,831.5
649361890551,营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面,袋面次链接,-2859.5,-2104.0,-1447.0,-876.5,1412.5,1983.0
1019397839311,营多捞面原味番茄牛肉袋装泡面汤面干拌面方便面宿舍速食旅行宵夜,多口味混搭,-1.0,,,,,
1040679932754,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,杯面混搭,-7.0,,,,,
1056927747753,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东,,,,,,
1057479227624,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东牛肉,,-185.0,-674.0,-306.0,,
1058280415678,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,原味大包,,79.0,52.0,54.0,,
1059563993918,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,巴东牛肉,,-107.0,-115.0,-15.0,,
1060999732877,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,原味大包,,31.0,-44.0,-25.5,,
1067957289054,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东牛肉,,,,-5.5,,
754828376158,进口营多捞面汤面拌面六口味混合方便面速食食品泡面,六口味混搭,-0.5,,,,,
773972883430,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,韩式袋面,-3.0,5.0,,,,
869217868453,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,韩式杯面,-4.0,2.0,,-5.5,,-1.5
949962665617,营多捞面多口味袋装泡面拌面速食面干拌面方便面宿舍宵夜速食旅行,组合,-58.5,,,,,
965545088099,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,十口味混搭,14.0,,,5.0,,-9.0
975092562679,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,韩式杯面,2.0,0.0,,,,
