id,商品名称,定位,5.11-5.17,5.25-5.31,6.15-6.21,6.22-6.28,6.29-7.5,7.13-7.19,7.20-8.2,合计,首末周变化,近两期变化
1013887677295,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,原味大包,-65.0,-148.0,-137.0,-135.0,-107.0,-174.0,-147.0,-913.0,-82.0,27.0
1019397839311,营多捞面原味番茄牛肉袋装泡面汤面干拌面方便面宿舍速食旅行宵夜,多口味混搭,-1.0,,,,,,,-1.0,,
1019572719528,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,日韩袋面,2.0,,,,3.0,2.0,,7.0,0.0,-1.0
1028450344901,营多韩式火鸡面袋装拌面干拌面泡面方便面速食面宿舍宵夜旅行,韩式火鸡,,1.0,2.0,-8.0,-5.0,-8.0,1.0,-17.0,0.0,9.0
1040679932754,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,杯面混搭,-7.0,,,,-2.0,,,-9.0,5.0,5.0
1056927747753,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东,,,-2.0,,,,,-2.0,,
1057479227624,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东牛肉,,,,-185.0,-469.0,-674.0,-612.0,-1940.0,-427.0,62.0
1058280415678,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,原味大包,,,,79.0,18.0,52.0,108.0,257.0,29.0,56.0
1059563993918,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,巴东牛肉,,,,-107.0,-206.0,-115.0,-30.0,-458.0,77.0,85.0
1060999732877,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,原味大包,,,,31.0,-28.0,-44.0,-51.0,-92.0,-82.0,-7.0
1067957289054,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,巴东牛肉,,,,,,,-11.0,-11.0,,
648598580775,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,原味大包,25.0,-66.0,-70.0,-116.0,-117.0,-37.0,-85.0,-466.0,-110.0,-48.0
648600900806,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,30包,5.0,-69.0,-187.0,-257.0,-148.0,-202.0,-488.0,-1346.0,-493.0,-286.0
648604228786,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,杯面混搭,-24.0,6.0,9.0,-6.0,6.0,-15.0,7.0,-17.0,31.0,22.0
648681860568,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,杯面次链接,-87.0,-97.0,-161.0,-69.0,47.0,-100.0,-279.0,-746.0,-192.0,-179.0
