商品ID,定位,商品名称,推广前净利变化,推广花费变化,推广后净利变化,推广前变化影响,推广费变化影响,其他因素影响,主因判断,7.6-7.12_推广前,7.13-7.19_推广前,7.6-7.12_推广费,7.13-7.19_推广费,7.6-7.12_推广后,7.13-7.19_推广后,7.6-7.12_费比,7.13-7.19_费比
668566625747,袋面主链接,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,-597.0,-133.0,-667.0,-597.0,133.0,-203.0,主要是推广前利润下降,5395.0,4798.0,5943.0,5810.0,-911.0,-1578.0,0.14787628455547538,0.1570949599826952
648600900806,30包,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,-587.0,-359.0,-243.0,-587.0,359.0,-15.0,主要是推广前利润下降,1833.0,1246.0,1831.0,1472.0,41.0,-202.0,0.18237051792828685,0.21539362013462102
649369494424,24包经典/牛系列,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,-486.0,-287.0,-210.0,-486.0,287.0,-11.0,主要是推广前利润下降,1571.0,1085.0,1110.0,823.0,457.0,247.0,0.1329500538986705,0.14290675464490363
766165464414,12包,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,-157.0,-30.0,-119.0,-157.0,30.0,8.0,主要是推广前利润下降,214.0,57.0,69.0,39.0,129.0,10.0,0.05332302936630603,0.08074534161490683
648598580775,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,-200.0,-105.0,-101.0,-200.0,105.0,-6.0,主要是推广前利润下降,643.0,443.0,569.0,464.0,64.0,-37.0,0.15974171813587873,0.18005432673651534
1059563993918,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,-46.0,8.0,-65.0,-46.0,-8.0,-11.0,主要是推广前利润下降,41.0,-5.0,86.0,94.0,-50.0,-115.0,0.2182741116751269,0.17375231053604437
649014937782,24包,印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面,-106.0,-63.0,-58.0,-106.0,63.0,-15.0,主要是推广前利润下降,920.0,814.0,942.0,879.0,-5.0,-63.0,0.20166987797045602,0.19931972789115646
1013887677295,混搭5杯,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,-64.0,-20.0,-46.0,-64.0,20.0,-2.0,主要是推广前利润下降,186.0,122.0,303.0,283.0,-128.0,-174.0,0.18275030156815442,0.22442505947660588
648604228786,杯面混搭,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,-31.0,3.0,-31.0,-31.0,-3.0,3.0,主要是推广前利润下降,43.0,12.0,23.0,26.0,16.0,-15.0,0.07120743034055728,0.25742574257425743
735014804839,24/30包,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,-76.0,-52.0,-29.0,-76.0,52.0,-5.0,主要是推广前利润下降,447.0,371.0,344.0,292.0,108.0,79.0,0.1485961123110151,0.15724286483575659
