商品ID,定位,商品名称,成交_7.13,成交_7.20,成交变化,推广前_7.13,推广前_7.20,推广前净利变化,推广费_7.13,推广费_7.20,推广花费变化,推广后_7.13,推广后_7.20,推广后净利变化,推广前影响,推广费影响,其他影响,主因判断
649361890551,袋面次链接,营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面,14292.0,15638.0,1346.0,1294.0,1489.0,195.0,2421.0,2950.0,529.0,-1447.0,-1706.0,-259.0,195.0,-529.0,75.0,主要是推广费上升
648600900806,30包,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,6834.0,6719.0,-115.0,1246.0,1276.0,30.0,1472.0,1784.0,312.0,-202.0,-453.0,-251.0,30.0,-312.0,31.0,主要是推广费上升
649014937782,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,4410.0,3471.0,-939.0,814.0,664.0,-150.0,879.0,856.0,-23.0,-63.0,-177.0,-114.0,-150.0,23.0,13.0,主要是推广前利润下降
735014804839,24/30包,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,1857.0,1037.0,-820.0,371.0,210.0,-161.0,292.0,239.0,-53.0,79.0,-23.0,-102.0,-161.0,53.0,6.0,主要是推广前利润下降
1013887677295,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,1261.0,1045.0,-216.0,122.0,132.0,10.0,283.0,357.0,74.0,-174.0,-224.0,-50.0,10.0,-74.0,14.0,主要是推广费上升
648598580775,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,2577.0,2090.0,-487.0,443.0,356.0,-87.0,464.0,430.0,-34.0,-37.0,-80.0,-43.0,-87.0,34.0,10.0,主要是推广前利润下降
649735171438,杯面主链接,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,13725.0,13259.0,-466.0,1545.0,1448.0,-97.0,2323.0,2299.0,-24.0,-963.0,-985.0,-22.0,-97.0,24.0,51.0,主要是推广前利润下降
886856687067,大骨,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,292.0,242.0,-50.0,53.0,31.0,-22.0,16.0,17.0,1.0,30.0,9.0,-21.0,-22.0,-1.0,2.0,主要是推广前利润下降
648681860568,杯面次链接,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,842.0,1155.0,313.0,73.0,82.0,9.0,160.0,175.0,15.0,-100.0,-110.0,-10.0,9.0,-15.0,-4.0,主要是推广费上升
929504658691,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,652.0,653.0,1.0,114.0,84.0,-30.0,156.0,133.0,-23.0,-49.0,-56.0,-7.0,-30.0,23.0,0.0,主要是推广前利润下降
937005385662,日式袋面,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,211.0,219.0,8.0,28.0,30.0,2.0,38.0,47.0,9.0,-13.0,-19.0,-6.0,2.0,-9.0,1.0,主要是推广费上升
976467954327,日韩杯面,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,10.0,28.0,18.0,-1.0,-5.0,-4.0,1.0,3.0,2.0,-3.0,-9.0,-6.0,-4.0,-2.0,0.0,主要是推广前利润下降
976466902934,【U选】日式原杯1+日式辣杯1,【天猫U选】indomie营多捞面辣火鸡味日式鸡肉原味杯面,9.0,30.0,21.0,-2.0,-4.0,-2.0,1.0,3.0,2.0,-3.0,-8.0,-5.0,-2.0,-2.0,-1.0,推广前利润下降 + 推广费上升（双因）
898076297965,番茄牛肉,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,176.0,193.0,17.0,11.0,14.0,3.0,22.0,29.0,7.0,-16.0,-20.0,-4.0,3.0,-7.0,0.0,主要是推广费上升
