商品ID,定位,商品名称,5月均_推广后,6.22-6.28,6.29-7.5,7.6-7.12,7.13-7.19,7.20-8.2_周均,5月均→7.13变化,5月均→7.6变化,6.22→7.13变化,7.6→7.13变化
648600900806,30包,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,-32.0,-257.0,-148.0,41.0,-202.0,-244.0,-170.0,73.0,55.0,-243.0
766165464414,12包,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,165.0,55.0,65.0,129.0,10.0,29.0,-155.0,-36.0,-45.0,-119.0
1013887677295,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,-106.5,-135.0,-107.0,-128.0,-174.0,-73.5,-67.5,-21.5,-39.0,-46.0
648598580775,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,-20.5,-116.0,-117.0,64.0,-37.0,-42.5,-16.5,84.5,79.0,-101.0
932687928859,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,14.0,6.0,4.0,13.0,-2.0,3.5,-16.0,-1.0,-8.0,-15.0
969423151512,日韩混搭,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,-12.0,-41.0,-83.0,-16.0,-26.0,-30.5,-14.0,-4.0,15.0,-10.0
1028450344901,韩式火鸡,营多韩式火鸡面袋装拌面干拌面泡面方便面速食面宿舍宵夜旅行,1.0,-8.0,-5.0,0.0,-8.0,0.5,-9.0,-1.0,0.0,-8.0
649729851594,小规格,营多捞面袋装8包装泡面宿舍速食面热干面干拌面方便面火鸡面食品,7.5,-1.0,,8.0,-1.0,4.0,-8.5,0.5,0.0,-9.0
648681860568,杯面次链接,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,-92.0,-69.0,47.0,-160.0,-100.0,-139.5,-8.0,-68.0,-31.0,60.0
947413291596,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,-2.5,-1.0,-4.0,-9.0,-10.0,0.0,-7.5,-6.5,-9.0,-1.0
885645733215,大骨牛肉,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,-0.5,-10.0,-5.0,-6.0,-7.0,,-6.5,-5.5,3.0,-1.0
648604228786,杯面混搭,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,-9.0,-6.0,6.0,16.0,-15.0,3.5,-6.0,25.0,-9.0,-31.0
898120785283,番茄,进口意大利面风味奶香番茄牛肉味意式营多早餐儿童宝妈家庭餐拌面,-1.0,1.0,-2.0,-2.0,-4.0,5.5,-3.0,-1.0,-5.0,-2.0
903183018417,七口味混搭,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,-7.0,-1.0,-4.0,-16.0,-9.0,0.0,-2.0,-9.0,-8.0,7.0
775016827115,杯面混搭,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,3.0,,4.0,4.0,3.0,,0.0,1.0,,-1.0
1019572719528,日韩袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,2.0,,3.0,2.0,2.0,,0.0,0.0,,0.0
916072786304,小规格,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,-3.5,-3.0,,0.0,-3.0,-1.0,0.5,3.5,0.0,-3.0
976467954327,日韩杯面,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,-7.0,-3.0,-6.0,-3.0,-3.0,-6.5,4.0,4.0,0.0,0.0
