 日期 ,商品ID, 定位 , 商品名称 ," 成交
金额 "," 去税
金额 "," 成交
件数 ","件数
占比",件单价," 万相台
花费 "," 万相台
成交 ", 万相台ROI ," 品销宝
花费 "," 品销宝
成交 "," 品销宝
ROI "," 推广
总花费 "," 推广
总成交 "," 推广
总ROI ","推广费
占比","推广
总费率"," 日销
成交 ","日销
成交占比"," 其他
费用 "," 净利润
(推广前) ","净利率
(推广前)"," 净利润
(万相台) ","净利率
(万相台)"," 净利润
(推广后) ","净利率
(推广后)",成交件数占比,万象台商品报表-花费, 花费差额 ,万象台商品报表-成交, 成交差额 
 6.22-6.28 ,668566625747 , 袋面主链接 , 印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱 ," 25,765 "," 22,801 "," 1,020 ",31.6%,￥25.26 ," 3,802 "," 19,885 ", 5.2 , 601 ," 1,309 ", 2.2 ," 4,403 "," 21,194 ", 4.8 ,25.8%,17.1%," 4,571 ",36.1%, 662 ," 3,382 ",14.8%, -205 ,-0.9%," -1,396 ",-6.1%,32%," 3,550 ", 252 ," 18,961 ", 923 
 6.22-6.28 ,649361890551 , 袋面次链接 , 营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面 ," 16,506 "," 14,607 ", 882 ,27.3%,￥18.71 ," 2,715 "," 13,447 ", 5.0 , 520 ," 1,132 ", 2.2 ," 3,235 "," 14,579 ", 4.5 ,19.0%,19.6%," 1,927 ",15.2%, 572 ," 1,488 ",10.2%," -1,074 ",-7.3%," -2,104 ",-14.4%,27%," 2,497 ", 218 ," 12,649 ", 798 
 6.22-6.28 ,649735171438 , 杯面主链接 , 印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面 ," 14,641 "," 12,957 ", 582 ,18.0%,￥25.16 ," 2,548 "," 10,941 ", 4.3 , 343 , 747 , 2.2 ," 2,891 "," 11,688 ", 4.0 ,17.0%,19.7%," 2,953 ",23.3%, 377 ," 1,627 ",12.6%, -776 ,-6.0%," -1,456 ",-11.2%,18%," 2,404 ", 144 ," 10,414 ", 527 
 6.22-6.28 ,648600900806 , 30包 , 进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面 ," 8,217 "," 7,271 ", 119 ,3.7%,￥69.05 ," 1,817 "," 8,969 ", 4.9 , 70 , 153 , 2.2 ," 1,887 "," 9,122 ", 4.8 ,11.1%,23.0%, -905 ,-7.1%, 77 ," 1,595 ",21.9%, -119 ,-1.6%, -257 ,-3.5%,4%," 1,787 ", 29 ," 8,861 ", 108 
 6.22-6.28 ,649369494424 , 24包经典/牛系列 , 营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面 ," 4,642 "," 4,108 ", 84 ,2.6%,￥55.26 , 931 ," 3,680 ", 4.0 , 50 , 108 , 2.2 , 981 ," 3,788 ", 3.9 ,5.8%,21.1%, 854 ,6.7%, 54 , 869 ,21.2%, -9 ,-0.2%, -107 ,-2.6%,3%, 910 , 21 ," 3,604 ", 76 
 6.22-6.28 ,648598580775 , 15包 , 进口营多捞面15包Indomie方便面干拌面夜宵方便速食五连包85g*5 ," 2,908 "," 2,574 ", 79 ,2.4%,￥36.81 , 573 ," 2,271 ", 4.0 , 47 , 101 , 2.2 , 620 ," 2,372 ", 3.8 ,3.6%,21.3%, 536 ,4.2%, 51 , 517 ,20.1%, -24 ,-0.9%, -116 ,-4.5%,2%, 554 , 20 ," 2,199 ", 72 
 6.22-6.28 ,649014937782 , 24包 , 印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面 ," 3,690 "," 3,266 ", 65 ,2.0%,￥56.77 , 871 ," 3,115 ", 3.6 , 38 , 83 , 2.2 , 909 ," 3,198 ", 3.5 ,5.3%,24.6%, 492 ,3.9%, 42 , 743 ,22.8%, -79 ,-2.4%, -154 ,-4.7%,2%, 855 , 16 ," 3,056 ", 59 
 6.22-6.28 ,1057479227624 , 巴东 , 【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜 , 831 , 736 , 45 ,1.4%,￥18.47 , 244 ," 1,034 ", 4.2 , 27 , 58 , 2.2 , 270 ," 1,091 ", 4.0 ,1.6%,32.5%, -260 ,-2.1%, 29 , 97 ,13.2%, -133 ,-18.0%, -185 ,-25.2%,1%, 232 , 11 , 993 , 41 
 6.22-6.28 ,1058280415678 , 大大 , 印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜 ," 1,207 "," 1,068 ", 44 ,1.4%,￥27.43 , 131 ," 1,165 ", 8.9 , 26 , 56 , 2.2 , 157 ," 1,221 ", 7.8 ,0.9%,13.0%, -14 ,-0.1%, 29 , 254 ,23.7%, 130 ,12.2%, 79 ,7.4%,1%, 120 , 11 ," 1,125 ", 40 
 6.22-6.28 ,648681860568 , 杯面次链接 , 营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面 ," 1,172 "," 1,037 ", 40 ,1.2%,￥29.29 , 168 , 768 , 4.6 , 24 , 51 , 2.2 , 191 , 819 , 4.3 ,1.1%,16.3%, 353 ,2.8%, 26 , 136 ,13.1%, -22 ,-2.2%, -69 ,-6.7%,1%, 158 , 10 , 731 , 36 
