 日期 ,商品ID, 定位 , 商品名称 ," 成交
金额 "," 去税
金额 "," 成交
件数 ","件数
占比",件单价," 万相台
花费 "," 万相台
成交 ", 万相台ROI ," 品销宝
花费 "," 品销宝
成交 "," 品销宝
ROI "," 推广
总花费 "," 推广
总成交 "," 推广
总ROI ","推广费
占比","推广
总费率"," 日销
成交 ","日销
成交占比"," 其他
费用 "," 净利润
(推广前) ","净利率
(推广前)"," 净利润
(万相台) ","净利率
(万相台)"," 净利润
(推广后) ","净利率
(推广后)",成交件数占比,万象台商品报表-花费, 花费差额 ,万象台商品报表-成交, 成交差额 
 5.11-5.17 ,668566625747 , 袋面主链接 , 印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱 ," 31,186 "," 27,598 "," 1,220 ",27.3%,￥25.56 ," 5,080 "," 23,465 ", 4.6 , 555 ," 1,482 ", 2.7 ," 5,635 "," 24,947 ", 4.4 ,25.4%,18.1%," 6,239 ",32.8%, 275 ," 4,205 ",15.2%, -587 ,-2.1%," -1,370 ",-5.0%,27%," 5,355 ", 275 ," 23,465 ", -   
 5.11-5.17 ,649361890551 , 袋面次链接 , 营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面 ," 28,857 "," 25,537 "," 1,529 ",34.2%,￥18.87 ," 5,008 "," 25,555 ", 5.1 , 695 ," 1,857 ", 2.7 ," 5,704 "," 27,412 ", 4.8 ,25.7%,19.8%," 1,446 ",7.6%, 345 ," 2,533 ",9.9%," -2,192 ",-8.6%," -3,173 ",-12.4%,34%," 5,353 ", 345 ," 25,555 ", -   
 5.11-5.17 ,649735171438 , 杯面主链接 , 印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面 ," 20,500 "," 18,141 ", 803 ,18.0%,￥25.53 ," 3,147 "," 13,818 ", 4.4 , 365 , 975 , 2.7 ," 3,512 "," 14,793 ", 4.2 ,15.8%,17.1%," 5,707 ",30.0%, 181 ," 2,324 ",12.8%, -645 ,-3.6%," -1,160 ",-6.4%,18%," 3,328 ", 181 ," 13,818 ", -   
 5.11-5.17 ,648600900806 , 30包 , 进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面 ," 10,600 "," 9,380 ", 154 ,3.4%,￥68.83 ," 2,033 "," 10,438 ", 5.1 , 70 , 187 , 2.7 ," 2,103 "," 10,625 ", 5.1 ,9.5%,19.8%, -25 ,-0.1%, 35 ," 2,022 ",21.6%, 104 ,1.1%, 5 ,0.1%,3%," 2,068 ", 35 ," 10,438 ", -   
 5.11-5.17 ,649014937782 , 24包 , 印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面 ," 7,534 "," 6,667 ", 133 ,3.0%,￥56.65 ," 1,581 "," 7,075 ", 4.5 , 60 , 162 , 2.7 ," 1,642 "," 7,236 ", 4.4 ,7.4%,21.8%, 297 ,1.6%, 30 ," 1,486 ",22.3%, -6 ,-0.1%, -91 ,-1.4%,3%," 1,611 ", 30 ," 7,075 ", -   
 5.11-5.17 ,648598580775 , 15包 , 进口营多捞面15包Indomie方便面干拌面夜宵方便速食五连包85g*5 ," 6,102 "," 5,400 ", 165 ,3.7%,￥36.98 ," 1,045 "," 4,769 ", 4.6 , 75 , 200 , 2.7 ," 1,120 "," 4,970 ", 4.4 ,5.0%,18.4%," 1,132 ",6.0%, 37 ," 1,116 ",20.7%, 131 ,2.4%, 25 ,0.5%,4%," 1,082 ", 37 ," 4,769 ", -   
 5.11-5.17 ,766165464414 , 12包 , 营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵 ," 4,331 "," 3,833 ", 146 ,3.3%,￥29.66 , 460 ," 2,383 ", 5.2 , 66 , 177 , 2.7 , 526 ," 2,561 ", 4.9 ,2.4%,12.2%," 1,770 ",9.3%, 33 , 647 ,16.9%, 213 ,5.6%, 120 ,3.1%,3%, 493 , 33 ," 2,383 ", -   
 5.11-5.17 ,735014804839 , 24/30包 , 进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面 ," 2,119 "," 1,875 ", 31 ,0.7%,￥68.34 , 471 ," 1,689 ", 3.6 , 14 , 38 , 2.7 , 486 ," 1,727 ", 3.6 ,2.2%,22.9%, 392 ,2.1%, 7 , 422 ,22.5%, -23 ,-1.2%, -43 ,-2.3%,1%, 478 , 7 ," 1,689 ", -   
 5.11-5.17 ,649369494424 , 24包经典/牛系列 , 营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面 ," 1,718 "," 1,521 ", 31 ,0.7%,￥55.43 , 215 , 813 , 3.8 , 14 , 38 , 2.7 , 229 , 850 , 3.7 ,1.0%,13.3%, 868 ,4.6%, 7 , 325 ,21.4%, 122 ,8.0%, 102 ,6.7%,1%, 222 , 7 , 813 , -   
 5.11-5.17 ,929504658691 , 日式袋面 , 营多捞面日式鸡肉汤面原味辛辣味袋装泡面方便面速食宿舍夜宵食品 , 626 , 554 , 24 ,0.5%,￥26.10 , 163 , 502 , 3.1 , 11 , 29 , 2.7 , 174 , 532 , 3.0 ,0.8%,27.8%, 95 ,0.5%, 5 , 110 ,19.9%, -44 ,-7.9%, -59 ,-10.7%,1%, 169 , 5 , 502 , -   
 5.11-5.17 ,648681860568 , 杯面次链接 , 营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面 ," 1,000 ", 885 , 41 ,0.9%,￥24.40 , 172 , 836 , 4.9 , 19 , 50 , 2.7 , 190 , 886 , 4.7 ,0.9%,19.0%, 114 ,0.6%, 9 , 101 ,11.4%, -61 ,-6.9%, -87 ,-9.9%,1%, 181 , 9 , 836 , -   
 5.11-5.17 ,937005385662 , 日式袋面 , 进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面 , 425 , 376 , 19 ,0.4%,￥22.37 , 182 , 397 , 2.2 , 9 , 23 , 2.7 , 190 , 420 , 2.2 ,0.9%,44.8%, 5 ,0.0%, 4 , 75 ,19.9%, -96 ,-25.6%, -109 ,-28.9%,0%, 186 , 4 , 397 , -   
 5.11-5.17 ,969433743398 , 韩蘑菇 , 新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行 , 496 , 439 , 23 ,0.5%,￥21.55 , 141 , 388 , 2.7 , 10 , 28 , 2.7 , 152 , 416 , 2.7 ,0.7%,30.6%, 80 ,0.4%, 5 , 67 ,15.3%, -66 ,-15.0%, -81 ,-18.4%,1%, 146 , 5 , 388 , -   
 5.11-5.17 ,1013887677295 , 混搭5杯 , 进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵 , 574 , 508 , 23 ,0.5%,￥24.96 , 115 , 632 , 5.5 , 10 , 28 , 2.7 , 126 , 660 , 5.3 ,0.6%,21.9%, -86 ,-0.5%, 5 , 58 ,11.5%, -50 ,-9.9%, -65 ,-12.8%,1%, 120 , 5 , 632 , -   
 5.11-5.17 ,744317232690 , 多规格 , 营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍 , 371 , 329 , 20 ,0.4%,￥18.57 , 52 , 257 , 5.0 , 9 , 24 , 2.7 , 61 , 282 , 4.6 ,0.3%,16.4%, 90 ,0.5%, 5 , 30 ,9.2%, -19 ,-5.7%, -31 ,-9.6%,0%, 56 , 5 , 257 , -   
 5.11-5.17 ,649729851594 , 小规格 , 营多捞面袋装8包装泡面宿舍速食面热干面干拌面方便面火鸡面食品 , 177 , 157 , 8 ,0.2%,￥22.18 , 29 , 44 , 1.5 , 4 , 10 , 2.7 , 33 , 54 , 1.6 ,0.1%,18.5%, 124 ,0.7%, 2 , 27 ,17.4%, -0 ,-0.1%, -5 ,-3.4%,0%, 31 , 2 , 44 , -   
