 日期 ,商品ID, 定位 , 商品名称 ," 成交
金额 "," 去税
金额 "," 成交
件数 ","件数
占比",件单价," 万相台
花费 "," 万相台
成交 ", 万相台ROI ," 品销宝
花费 "," 品销宝
成交 "," 品销宝
ROI "," 推广
总花费 "," 推广
总成交 "," 推广
总ROI ","推广费
占比","推广
总费率"," 日销
成交 ","日销
成交占比"," 其他
费用 "," 净利润
(推广前) ","净利率
(推广前)"," 净利润
(万相台) ","净利率
(万相台)"," 净利润
(推广后) ","净利率
(推广后)",成交件数占比,万象台商品报表-花费, 花费差额 ,万象台商品报表-成交, 成交差额 ,Unnamed: 34
 7.20-7.26 ,668566625747.0, 袋面主链接 , 印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱 ," 35,490 "," 31,407 "," 1,459 ",38.4%,￥24.32 ," 4,868 "," 26,920 ",5.5, 788 ," 1,840 ",2.3," 5,656 "," 28,760 ",5.1,31.1%,15.9%," 6,729 ",19.0%, 817 ," 4,655 ",14.8%, 63 ,0.2%," -1,452 ",-4.6%,38%," 4,868 ", -   ," 26,920 ", -   , 806 
 7.20-7.26 ,649361890551.0, 袋面次链接 , 营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面 ," 15,638 "," 13,839 ", 805 ,21.2%,￥19.43 ," 2,528 "," 14,420 ",5.7, 422 , 985 ,2.3," 2,950 "," 15,405 ",5.2,16.2%,18.9%, 234 ,0.7%, 437 ," 1,489 ",10.8%, -896 ,-6.5%," -1,706 ",-12.3%,21%," 2,528 ", -   ," 14,420 ", -   , 445 
 7.20-7.26 ,649735171438.0, 杯面主链接 , 印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面 ," 13,259 "," 11,733 ", 523 ,13.8%,￥25.35 ," 2,030 "," 9,236 ",4.6, 270 , 630 ,2.3," 2,299 "," 9,866 ",4.3,12.6%,17.3%," 3,392 ",9.6%, 280 ," 1,448 ",12.3%, -467 ,-4.0%, -985 ,-8.4%,14%," 2,030 ", -   ," 9,236 ", -   , 289 
 7.20-7.26 ,1057479227624.0, 巴东牛肉 , 【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜 ," 3,300 "," 2,920 ", 176 ,4.6%,￥18.75 , 944 ," 4,698 ",5.0, 94 , 220 ,2.3," 1,038 "," 4,918 ",4.7,5.7%,31.5%," -1,618 ",-4.6%, 98 , 393 ,13.5%, -497 ,-17.0%, -678 ,-23.2%,5%, 944 , -   ," 4,698 ", -   , 97 
 7.20-7.26 ,1058280415678.0, 巴东牛肉 , 【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜 ," 4,380 "," 3,876 ", 152 ,4.0%,￥28.82 , 688 ," 4,094 ",6.0, 83 , 194 ,2.3, 771 ," 4,289 ",5.6,4.2%,17.6%, 91 ,0.3%, 86 , 953 ,24.6%, 305 ,7.9%, 144 ,3.7%,4%, 688 , -   ," 4,094 ", -   , 84 
 7.20-7.26 ,648600900806.0, 30包 , 进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面 ," 6,719 "," 5,946 ", 99 ,2.6%,￥67.87 ," 1,737 "," 7,157 ",4.1, 47 , 110 ,2.3," 1,784 "," 7,267 ",4.1,9.8%,26.5%, -547 ,-1.5%, 49 ," 1,276 ",21.5%, -362 ,-6.1%, -453 ,-7.6%,3%," 1,737 ", -   ," 7,157 ", -   , 55 
 7.20-7.26 ,649369494424.0, 24包经典/牛系列 , 营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面 ," 4,014 "," 3,553 ", 72 ,1.9%,￥55.76 , 478 ," 2,497 ",5.2, 41 , 96 ,2.3, 519 ," 2,593 ",5.0,2.9%,12.9%," 1,421 ",4.0%, 43 , 775 ,21.8%, 324 ,9.1%, 245 ,6.9%,2%, 478 , -   ," 2,497 ", -   , 40 
 7.20-7.26 ,1060999732877.0, 原味大包 , indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃 ," 2,057 "," 1,820 ", 71 ,1.9%,￥28.97 , 441 ," 2,613 ",5.9, 39 , 90 ,2.3, 480 ," 2,703 ",5.6,2.6%,23.3%, -646 ,-1.8%, 40 , 450 ,24.7%, 34 ,1.9%, -40 ,-2.2%,2%, 441 , -   ," 2,613 ", -   , 39 
 7.20-7.26 ,649014937782.0, 原味大包 , indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃 ," 3,471 "," 3,072 ", 62 ,1.6%,￥55.99 , 822 ," 3,076 ",3.7, 34 , 79 ,2.3, 856 ," 3,154 ",3.7,4.7%,24.7%, 317 ,0.9%, 35 , 664 ,21.6%, -112 ,-3.6%, -177 ,-5.8%,2%, 822 , -   ," 3,076 ", -   , 34 
 7.20-7.26 ,648598580775.0, 原味大包 , 印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜 ," 2,090 "," 1,849 ", 57 ,1.5%,￥36.66 , 400 ," 1,431 ",3.6, 30 , 70 ,2.3, 430 ," 1,501 ",3.5,2.4%,20.6%, 589 ,1.7%, 31 , 356 ,19.2%, -22 ,-1.2%, -80 ,-4.3%,2%, 400 , -   ," 1,431 ", -   , 31 
