,周数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日期,GMV,"退款
金额","去退
金额","支付
人数",客单价,"袋面
总销量（包）","袋面
总销量(箱）","杯面
总销量（箱）","袋面
支付
金额","袋面
单包价",杯面单价,"推广前
利润","推广前
利率",日期,万相台,,,品销宝,,,"推广
投入","推广
产出"," 推广
ROI ","推广
费率",其他费用,"推广后
利润","推广后
利率",备注,,,,,,,,
,,,,,,,,,,,,,,,,投入,产出,ROI,投入,产出,ROI,,,,,,,,,,,,,,,,
,12.29-1.4," 82,113 "," 8,834 "," 73,279 "," 2,463 ", 33.34 ," 24,987 ", 833 , 195 ," 63,096 ", 2.53 , 4.48 ," 10,312 ",15.90%,12.29-1.4," 17,507 "," 50,950 ", 2.9 ," 1,612 "," 5,429 ", 3.4 ," 19,119 "," 56,379 ", 2.9 ,26.09%, 548 ," -8,242 ",-12.71%,,,,,,,,,
,1.5-1.11," 109,500 "," 16,371 "," 93,130 "," 3,518 ", 31.13 ," 30,993 "," 1,033 ", 276 ," 78,716 ", 2.54 , 4.47 ," 12,572 ",15.25%,1.5-1.11," 20,027 "," 71,105 ", 3.6 ," 1,761 "," 5,583 ", 3.2 ," 21,788 "," 76,688 ", 3.5 ,23.40%, 549 ," -8,501 ",-10.31%,"1月份包材价调整,损益不调整，体现在2月份",,,,,,,,
,1.12-1.18," 95,495 "," 12,509 "," 82,987 "," 3,045 ", 31.36 ," 28,171 ", 939 , 232 ," 71,432 ", 2.54 , 4.47 ," 11,223 ",15.28%,1.12-1.18," 17,046 "," 61,561 ", 3.6 ," 1,796 "," 6,026 ", 3.4 ," 18,842 "," 67,587 ", 3.6 ,22.70%, 726 ," -7,236 ",-9.85%,,,,,,,,,
,1.19-1.25," 94,702 "," 12,961 "," 81,741 "," 3,071 ", 30.84 ," 27,243 ", 908 , 242 ," 69,137 ", 2.54 , 4.47 ," 10,619 ",14.68%,1.19-1.25," 16,900 "," 58,162 ", 3.4 ," 1,502 "," 3,758 ", 2.5 ," 18,403 "," 61,920 ", 3.4 ,22.51%, 709 ," -7,411 ",-10.25%,,,,,,,,,
,1.26-2.1," 117,271 "," 16,710 "," 100,560 "," 3,744 ", 31.32 ," 33,565 "," 1,119 ", 294 ," 85,693 ", 2.55 , 4.42 ," 14,288 ",16.06%,1.26-2.1," 18,786 "," 72,474 ", 3.9 ," 2,442 "," 9,805 ", 4.0 ," 21,228 "," 82,279 ", 3.9 ,21.11%, 684 ," -6,383 ",-7.17%,,,,,,,,,
,2.2-2.8," 113,357 "," 15,297 "," 98,060 "," 3,424 ", 33.11 ," 33,791 "," 1,126 ", 238 ," 85,675 ", 2.54 , 4.48 ," 14,665 ",16.90%,2.2-2.8," 15,953 "," 67,932 ", 4.3 ," 1,767 "," 5,177 ", 2.9 ," 17,720 "," 73,109 ", 4.1 ,18.07%, 756 ," -2,765 ",-3.19%,,,,,,,,,
,2.9-2.15," 65,439 "," 7,725 "," 57,714 "," 2,018 ", 32.43 ," 19,814 ", 687 , 145 ," 50,328 ", 2.54 , 4.46 ," 6,971 ",13.65%,2.9-2.15," 14,032 "," 45,886 ", 3.3 , 709 ," 1,810 ", 2.6 ," 14,740 "," 47,697 ", 3.2 ,25.54%, -351 ," -6,604 ",-12.93%,推广超额1077.8，千千冲销,,,,,,,,
,2.16-2.22," 54,669 "," 5,575 "," 49,094 "," 1,788 ", 30.58 ," 17,092 ", 590 , 97 ," 43,675 ", 2.56 , 4.57 ," 3,757 ",8.65%,2.16-2.22," 14,132 "," 47,374 ", 3.4 , -   ,,," 14,132 "," 47,374 ", 3.4 ,28.78%," -3,257 "," -6,503 ",-14.97%,推广超额3772，千千冲销,,,,,,,,
