周次,GMV,退款金额,去退金额,支付人数,客单价,袋面销量_包,袋面销量_箱,杯面销量_箱,袋面支付金额,袋面单包价,杯面单价,推广前利润,推广前利率,万相台投入,万相台产出,万相台ROI,品销宝投入,品销宝产出,品销宝ROI,推广投入,推广产出,推广ROI,推广费率,其他费用,推广后利润,推广后利率,备注,推广后环比,推广前环比,推广费环比
5.11-5.17,130304.0,12477.0,117828.0,4262.0,30.57,37945.0,1317.0,414.0,95742.0,2.52,4.54,15585.0,0.1495,20169.0,93838.0,4.7,2031.0,5423.0,2.7,22200.0,99261.0,4.5,0.1884,1911.0,-7161.0,-6.87,,,,
5.18-5.24,139241.0,15430.0,123811.0,4399.0,31.65,40749.0,1411.0,413.0,102217.0,2.51,4.53,16979.0,0.155,21127.0,93269.0,4.4,2071.0,4754.0,2.3,23198.0,98023.0,4.2,0.18739999999999998,1911.0,-6709.0,-6.12,,452.0,1394.0,998.0
5.25-5.31,139104.0,16404.0,122700.0,5301.0,26.24,39900.0,1386.0,421.0,100552.0,2.52,4.53,16534.0,0.1523,20801.0,92955.0,4.5,2066.0,4095.0,2.0,22867.0,97050.0,4.2,0.1864,1911.0,-6842.0,-6.3,,-133.0,-445.0,-331.0
6.1-6.7,123012.0,12326.0,110687.0,3879.0,31.71,36514.0,1262.0,368.0,91228.0,2.5,4.51,14905.0,0.1522,18027.0,83889.0,4.7,2074.0,5323.0,2.6,20101.0,89212.0,4.4,0.1816,3605.0,3605.0,0.0368,6月其他费用14419.01,10447.0,-1629.0,-2766.0
6.8-6.14,113858.0,11354.0,102504.0,3694.0,30.82,33551.0,1152.0,348.0,84130.0,2.51,4.59,13782.0,0.1519,18130.0,78093.0,4.3,2066.0,4387.0,2.1,20196.0,82479.0,4.1,0.19699999999999998,3605.0,3605.0,0.0397,,0.0,-1123.0,95.0
6.15-6.21,112643.0,10320.0,102323.0,3598.0,31.31,34243.0,1182.0,305.0,86081.0,2.51,4.54,13834.0,0.1528,17443.0,71210.0,4.1,2047.0,4488.0,2.2,19490.0,75698.0,3.9,0.1905,3605.0,3605.0,0.0398,,0.0,52.0,-706.0
6.22-6.28,95317.0,8127.0,87190.0,3100.0,30.75,27493.0,953.0,315.0,69574.0,2.53,4.53,11722.0,0.1519,15149.0,69894.0,4.6,1902.0,4142.0,2.2,17051.0,74037.0,4.3,0.1956,3605.0,3605.0,0.0467,,0.0,-2112.0,-2439.0
6.29-7.5,100176.0,8247.0,91929.0,3148.0,31.82,29256.0,1022.0,339.0,74914.0,2.56,4.51,12985.0,0.15960000000000002,15444.0,68088.0,4.4,1912.0,5093.0,2.7,17357.0,73180.0,4.2,0.1888,1951.0,-5230.0,-6.43,,-8835.0,1263.0,306.0
7.6-7.12,131865.0,11605.0,120260.0,4185.0,31.51,39740.0,1389.0,360.0,74914.0,2.56,4.51,16861.0,0.15839999999999999,18107.0,90992.0,5.0,2066.0,5286.0,2.6,20174.0,96278.0,4.8,0.1678,2054.0,-4109.0,-3.86,,1121.0,3876.0,2817.0
7.13-7.19,109087.0,9008.0,100078.0,3553.0,30.7,33067.0,1159.0,296.0,74914.0,2.56,4.51,13701.0,0.1547,15553.0,75702.0,4.9,2018.0,4391.0,2.2,17570.0,80093.0,4.6,0.17559999999999998,2405.0,-5144.0,-5.81,,-1035.0,-3160.0,-2604.0
7.20-7.26,107560.0,9080.0,98481.0,3500.0,30.73,31835.0,1125.0,293.0,74914.0,2.56,4.51,13545.0,0.15539999999999998,16156.0,81135.0,5.0,2022.0,4721.0,2.3,18177.0,85856.0,4.7,0.18460000000000001,2097.0,-5582.0,-6.41,,-438.0,-156.0,607.0
7.27-8.2,118941.0,11623.0,107318.0,3747.0,31.74,34552.0,1215.0,338.0,74914.0,2.56,4.51,15036.0,0.1583,17150.0,88287.0,5.1,2055.0,4420.0,2.2,19205.0,92707.0,4.8,0.179,2127.0,-5089.0,-5.36,,493.0,1491.0,1028.0
8.3-8.9,135684.0,14389.0,121296.0,4240.0,32.0,34744.0,1246.0,378.0,74914.0,2.56,4.51,17449.0,0.16260000000000002,20195.0,94369.0,4.7,2059.0,4470.0,2.2,22254.0,98839.0,4.4,0.18350000000000002,2412.0,-5821.0,-5.42,,-732.0,2413.0,3049.0
