 日期 ,商品ID, 定位 , 商品名称 ," 成交
金额 "," 去税
金额 "," 成交
件数 ","件数
占比",件单价," 万相台
花费 "," 万相台
成交 ", 万相台ROI ," 品销宝
花费 "," 品销宝
成交 "," 品销宝
ROI "," 推广
总花费 "," 推广
总成交 "," 推广
总ROI ","推广费
占比","推广
总费率"," 日销
成交 ","日销
成交占比"," 其他
费用 "," 净利润
(推广前) ","净利率
(推广前)"," 净利润
(万相台) ","净利率
(万相台)"," 净利润
(推广后) ","净利率
(推广后)",成交件数占比,万象台商品报表-花费, 花费差额 ,万象台商品报表-成交, 成交差额 
 6.15-6.21 ,649361890551 , 袋面次链接 , 营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面 ," 24,398 "," 21,591 "," 1,311 ",34.1%,￥18.61 ," 4,515 "," 18,942 ", 4.2 , 699 ," 1,510 ", 2.2 ," 5,214 "," 20,452 ", 3.9 ,26.8%,21.4%," 3,946 ",14.0%, 729 ," 2,294 ",10.6%," -1,966 ",-9.1%," -3,313 ",-15.3%,34%," 6,025 "," 1,510 "," 18,942 ", -   
 6.15-6.21 ,668566625747 , 袋面主链接 , 印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱 ," 30,426 "," 26,925 "," 1,178 ",30.7%,￥25.83 ," 4,023 "," 18,336 ", 4.6 , 628 ," 1,357 ", 2.2 ," 4,650 "," 19,693 ", 4.2 ,23.9%,15.3%," 10,733 ",38.0%, 655 ," 4,056 ",15.1%, 261 ,1.0%, -950 ,-3.5%,31%," 5,379 "," 1,357 "," 18,336 ", -   
 6.15-6.21 ,649735171438 , 杯面主链接 , 印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面 ," 13,688 "," 12,113 ", 538 ,14.0%,￥25.44 ," 2,677 "," 8,537 ", 3.2 , 287 , 620 , 2.2 ," 2,964 "," 9,157 ", 3.1 ,15.2%,21.7%," 4,531 ",16.0%, 299 ," 1,555 ",12.8%, -970 ,-8.0%," -1,523 ",-12.6%,14%," 3,296 ", 620 ," 8,537 ", -   
 6.15-6.21 ,648600900806 , 30包 , 进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面 ," 9,519 "," 8,424 ", 140 ,3.6%,￥68.00 ," 1,924 "," 9,062 ", 4.7 , 75 , 161 , 2.2 ," 1,999 "," 9,224 ", 4.6 ,10.3%,21.0%, 296 ,1.0%, 78 ," 1,772 ",21.0%, -43 ,-0.5%, -187 ,-2.2%,4%," 2,085 ", 161 ," 9,062 ", -   
 6.15-6.21 ,648598580775 , 15包 , 进口营多捞面15包Indomie方便面干拌面夜宵方便速食五连包85g*5 ," 3,581 "," 3,169 ", 98 ,2.6%,￥36.55 , 638 ," 1,959 ", 3.1 , 52 , 113 , 2.2 , 691 ," 2,072 ", 3.0 ,3.5%,19.3%," 1,510 ",5.3%, 55 , 633 ,20.0%, 30 ,1.0%, -70 ,-2.2%,3%, 751 , 113 ," 1,959 ", -   
 6.15-6.21 ,649014937782 , 24包 , 印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面 ," 5,442 "," 4,816 ", 97 ,2.5%,￥56.11 ," 1,065 "," 3,507 ", 3.3 , 52 , 112 , 2.2 ," 1,116 "," 3,619 ", 3.2 ,5.7%,20.5%," 1,824 ",6.5%, 54 ," 1,058 ",22.0%, 53 ,1.1%, -47 ,-1.0%,3%," 1,176 ", 112 ," 3,507 ", -   
 6.15-6.21 ,649369494424 , 24包经典/牛系列 , 营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面 ," 5,009 "," 4,433 ", 90 ,2.3%,￥55.66 ," 1,002 "," 3,256 ", 3.2 , 48 , 104 , 2.2 ," 1,050 "," 3,359 ", 3.2 ,5.4%,21.0%," 1,650 ",5.8%, 50 , 961 ,21.7%, 15 ,0.3%, -77 ,-1.7%,2%," 1,106 ", 104 ," 3,256 ", -   
 6.15-6.21 ,929504658691 , 日式袋面 , 营多捞面日式鸡肉汤面原味辛辣味袋装泡面方便面速食宿舍夜宵食品 ," 1,236 "," 1,093 ", 59 ,1.5%,￥20.94 , 468 ," 1,409 ", 3.0 , 31 , 68 , 2.2 , 500 ," 1,476 ", 3.0 ,2.6%,40.5%, -241 ,-0.9%, 33 , 176 ,16.1%, -266 ,-24.3%, -326 ,-29.8%,2%, 536 , 68 ," 1,409 ", -   
 6.15-6.21 ,744317232690 , 多规格 , 营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍 , 830 , 735 , 57 ,1.5%,￥14.57 , 49 , 167 , 3.4 , 30 , 66 , 2.2 , 79 , 233 , 2.9 ,0.4%,9.5%, 597 ,2.1%, 32 , 171 ,23.3%, 125 ,17.0%, 66 ,9.0%,1%, 114 , 66 , 167 , -   
 6.15-6.21 ,648681860568 , 杯面次链接 , 营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面 ," 1,345 "," 1,190 ", 50 ,1.3%,￥26.89 , 295 ," 1,304 ", 4.4 , 27 , 58 , 2.2 , 321 ," 1,361 ", 4.2 ,1.6%,23.9%, -17 ,-0.1%, 28 , 168 ,14.1%, -110 ,-9.2%, -161 ,-13.6%,1%, 352 , 58 ," 1,304 ", -   
